Weekly Infectious Disease Bulletin - Year 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyclinic attendances - Average Daily numbers,,,
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Viral Hepatitis A,Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue Fever,Dengue Haemorrhagic Fever,Malaria,Chikungunya Fever,"Hand, Foot Mouth Disease",Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah virus infection,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacterenterosis,Acute Viral hepatitis C,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika Virus Infection,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
34,8/21/2016,8/27/2016,0,0,0,1,0,0,0,0,274,0,1,2,948,0,3,9,0,0,0,5,2,2,6,0,3,0,1,4,0,26,0,1,2687,78,521,14
35,8/28/2016,9/3/2016,0,1,2,2,0,0,0,0,310,1,2,1,906,0,2,13,1,0,0,1,1,0,13,0,0,0,1,3,0,36,0,215,2573,82,501,15
36,9/4/2016,9/10/2016,0,0,1,0,3,0,0,0,242,0,2,4,867,0,5,18,1,0,0,4,0,0,20,0,0,0,2,1,0,44,0,107,2371,75,453,10
37,9/11/2016,9/17/2016,0,0,1,0,2,0,0,0,175,0,2,2,778,0,1,12,0,0,0,1,0,0,13,0,2,0,2,1,0,47,0,62,2566,88,617,14
38,9/18/2016,9/24/2016,1,0,0,0,2,0,0,0,174,0,2,3,756,0,0,13,1,0,0,0,0,1,13,0,0,0,0,5,2,30,0,11,2449,83,554,11
39,9/25/2016,10/1/2016,0,1,0,1,2,0,0,0,138,0,0,2,737,0,3,11,0,0,0,3,0,1,10,0,3,0,0,1,0,37,0,8,2384,84,525,17
40,10/2/2016,10/8/2016,0,0,1,2,4,0,0,0,125,0,0,0,555,0,2,14,0,0,0,1,0,1,11,0,2,0,0,3,0,47,0,4,2378,73,559,14
41,10/9/2016,10/15/2016,0,0,1,0,6,0,0,0,94,0,2,1,616,0,2,10,0,0,0,2,0,0,6,1,1,0,2,3,0,41,0,11,2423,78,582,20
42,10/16/2016,10/22/2016,0,1,0,0,4,0,0,0,108,0,0,4,599,0,1,7,0,0,0,1,0,0,2,0,2,0,2,1,0,46,0,11,2408,76,565,19
43,10/23/2016,10/29/2016,0,0,1,0,3,0,0,0,84,0,0,0,474,0,2,14,0,0,0,2,0,1,5,0,2,1,0,3,0,34,0,12,2398,79,558,15
44,10/30/2016,11/5/2016,0,0,2,0,1,0,0,0,85,1,0,2,489,0,1,16,0,0,0,2,0,0,8,0,1,0,3,1,0,45,0,4,2462,82,568,13
45,11/6/2016,11/12/2016,0,0,2,1,0,0,0,0,84,0,0,1,505,0,4,11,0,0,0,2,0,0,11,1,3,0,3,2,0,33,0,4,2598,78,554,16
46,11/13/2016,11/19/2016,0,0,1,0,3,0,0,0,72,0,0,2,581,0,5,13,0,0,0,3,0,1,7,1,2,0,4,1,0,47,0,3,2651,84,519,11
47,11/20/2016,11/26/2016,0,0,1,0,1,0,0,0,74,1,0,0,576,0,8,8,0,0,0,1,0,0,6,0,1,0,0,2,1,40,0,1,2620,87,512,14
48,11/27/2016,12/3/2016,0,0,0,0,1,0,0,0,86,0,0,1,602,0,4,4,0,0,0,2,0,0,7,1,3,0,0,4,0,0,0,2,2589,100,489,14
49,12/4/2016,12/10/2016,0,0,0,0,0,0,0,0,59,0,3,1,588,0,11,10,0,0,0,1,0,0,6,0,0,3,0,0,2,0,0,1,2377,102,479,11
50,12/11/2016,12/17/2016,0,0,1,0,2,0,0,0,81,0,1,1,582,0,3,11,0,0,0,2,0,1,7,0,2,1,2,2,2,0,0,0,2410,101,427,13
51,12/18/2016,12/24/2016,0,0,4,1,1,0,,0,72,0,0,0,560,0,2,15,0,0,0,0,0,0,9,0,1,1,0,2,3,1,0,0,2275,92,448,11
52,12/25/2016,12/31/2016,0,0,1,2,2,0,0,0,64,0,0,0,512,0,3,12,1,0,0,0,0,0,5,0,2,0,0,1,3,0,0,1,2493,98,458,12
