name,genre,rating_val,nearest_station,address
Kimoto,Japanese food,4.47,Kagurazaka Station,東京都新宿区東五軒町5-5
TACUBO,italian,4.46,Daikanyama Station,東京都渋谷区恵比寿西2-13-16 ラングス代官山 1F
Akasaka Raimon,"Yakiniku, Horumon",4.44,Akasakamitsuke Station,東京都港区赤坂3-9-12 メトロビル 4F
Maki village,Japanese food,4.44,Omori Kaigan Station,東京都品川区南大井3-11-5 MAKIMURA BLD 1F
helmet,eel,4.43,Ikebukuro Station,東京都豊島区池袋2-53-2 池袋ESビル 1F
Japanese restaurant Haruyama,Japanese food,4.43,Mita Station,東京都港区三田2-17-29 グランデ三田 B1F
Sushi Kimura,sushi,4.41,Futakotamagawa Station,東京都世田谷区玉川3-21-8
Yamazaki,"Japanese cuisine, seafood dishes",4.41,Nogizaka Station,東京都港区西麻布1-15-3 西麻布UOUビル 1F
Bonyu,"french, cake",4.41,Sangubashi Station,東京都渋谷区代々木4-22-17 クイーンズ代々木 1F
Butcher Tanaka,"Beef, Japanese",4.4,Ginza Station,東京都中央区銀座6-4-3 GICROS GINZA GEMS 9F
tiger white,Japanese food,4.39,Iidabashi Station,東京都新宿区神楽坂3-4
Sushi Takumi,sushi,4.39,Yotsuya Station,東京都新宿区四谷1-11 陽臨堂ビル　１Ｆ
Kagurazaka Ishikawa,Japanese food,4.38,Ushigome Kagurazaka Station,東京都新宿区神楽坂5-37 高村ビル　１Ｆ
YORONIKU,"Yakiniku, Horumon",4.38,Ebisu Station,東京都渋谷区恵比寿1-11-5 GEMS恵比寿 8F
gourmandies,bistro,4.37,Hiroo station,東京都港区西麻布3丁目17-23 プティコワン西麻布2F
that,"Innovative Fusion, French",4.36,Yoyogiuehara Station,東京都渋谷区西原3-23-1
Sushi Hashimoto,sushi,4.35,Shintomicho Station,東京都中央区新富1-8-2 grandir ginza east 1F
Shimadzu,sushi,4.35,Shirokane Takanawa Station,東京都港区白金1-29-13 白金ヴィレッジ 1F
camphor tree,Tempura,4.34,Yotsuya Station,東京都新宿区四谷1-9-4
San Luca Bar,bar,4.34,Kagurazaka Station,東京都新宿区神楽坂6-43 K's Place102
Firewood Bird Shin-Kobe,"Yakitori, chicken dishes",4.34,Azabujuban Station,東京都港区三田1-10-16
Hatsune Sushi,sushi,4.33,Kamata Station,東京都大田区西蒲田5-20-2
Full of taste,Fugu,4.33,Roppongi Station,東京都港区六本木3-8-8 ＷＯＯビル　１Ｆ
Sushi Ryujiro,sushi,4.32,Gaienmae Station,東京都港区南青山2-11-11 ARISTO南青山 1F
Nihonbashi soba,Tempura,4.32,Ningyocho Station,東京都中央区日本橋人形町2-22-11 井上ビル 1F
Yakiniku Jumbo Hanare,"Yakiniku, Horumon",4.32,Hongo Sanchome Station,東京都文京区本郷3-27-9 アンリツビル B1F～1F
Esquisse,"French, modern French",4.31,Ginza station,東京都中央区銀座5-4-6 ロイヤルクリスタル銀座 9Ｆ
florilage,"French, Modern French, Innovative Fusion",4.3,Gaienmae Station,東京都渋谷区神宮前2-5-4 SEIZAN外苑 B1
Charcoal grill Kinryuzan,Grilled meat,4.3,Shirokane Takanawa Station,東京都港区白金3-14-1 第１マンション　１Ｆ
Taste,Japanese food,4.29,Uchisaiwaicho Station,東京都港区西新橋1-18-8 報徳ビル 1F
Sushi Hashiguchi,sushi,4.29,Akasakamitsuke Station,東京都港区元赤坂1-5-20 ロイヤル赤坂サルーン1F
Gastronomy Joel Robuchon,"French, modern French",4.28,Ebisu Station,東京都目黒区三田1-13-1 恵比寿ガーデンプレイス
pass,Creative cuisine,4.28,Gaienmae Station,東京都渋谷区神宮前2-3-18 建築家会館JIA館
ookusa,Yakitori,4.27,Yotsuya Sanchome Station,東京都新宿区荒木町7-13 森戸ビル 1Ｆ
Kurogi,Japanese food,4.27,Daimon Station,東京都港区芝公園1-7-10
She Ino,French,4.27,Kyobashi Station,東京都中央区京橋2-4-16 明治京橋ビル1F
Ajihiro,Japanese food,4.26,Shintomicho Station,東京都中央区湊3-13-15
lature,French,4.25,Omotesando Station,東京都渋谷区渋谷2-2-2 青山ルカビル B1F
Apicius,French,4.24,Hibiya Station,東京都千代田区有楽町1-9-4 蚕糸会館　Ｂ１Ｆ
Hayabusa,"Cantonese cuisine, innovative fusion",4.24,Roppongi Station,東京都港区六本木4-4-2 ヒルサイドパレス六本木 B1F
Akasaka Ogino,Japanese food,4.24,Akasaka Station,東京都港区赤坂6-3-13
waves,sushi,4.24,Ushigome Kagurazaka Station,東京都新宿区神楽坂5-7
NARISAWA,innovative fusion,4.24,Aoyama-itchome Station,東京都港区南青山2-6-15
Les Saisons,French,4.24,Hibiya Station,東京都千代田区内幸町1-1-1 帝国ホテル東京 本館 中2F
Live Eel Shop Tsugumi-an,"Eel, grilled chicken",4.23,Komagome Station,東京都北区中里1-29-1
4000 Chinese Restaurant,Sichuan cuisine,4.23,Hiroo station,東京都港区南青山7-10-10 パークアクシス南青山7丁目 1F
ShinoiS,Chinese cuisine,4.23,Shirokanedai Station,東京都港区白金台4-2-7 bld桜なみき 2F
Wasa,Chinese cuisine,4.23,Ebisu Station,東京都渋谷区東3-16-1 ベルザ恵比寿 1F
and village,Japanese food,4.22,Toranomon Station,東京都港区虎ノ門1-11-14 第二ジェスペールビル　１Ｆ
Miyasaka,Japanese food,4.22,Omotesando Station,東京都港区南青山5-4-30 ヴィラソレイユE号
Meat Kappo,"Beef, Japanese",4.22,Nogizaka Station,東京都港区西麻布2-24-14 バルビゾン73 B1F
etc,"Japanese cuisine, creative cuisine",4.22,Ushigome Kagurazaka Station,東京都新宿区神楽坂5-37 相良ビル 1F
Sushi Shunsuke Asagaya,sushi,4.21,Asagaya Station,東京都杉並区阿佐谷南3-44-4 B1F
Morisaka Koshiba of Tsu,Japanese food,4.21,Akebonobashi Station,東京都新宿区荒木町15 サンシャトー四谷203
Yakiniku Seiryuen,Grilled meat,4.21,Kiyosumi-Shirakawa Station,東京都江東区常盤2-14-11
Tempura Fukamachi,Tempura,4.21,Kyobashi Station,東京都中央区京橋2-5-2 A・M京橋ビル 1F
SEZANNE,"French, modern French",4.2,Kyobashi Station,東京都千代田区丸の内1-11-1 パシフィックセンチュリープレイス
Tonkatsu Narizo,Pork cutlet,4.2,Minamiasagaya Station,東京都杉並区成田東4-33-9
Torita Junior High School,"Yakitori, chicken dishes, Japanese cuisine",4.19,Kanegafuchi Station,東京都墨田区墨田3-25-7
サエキ hotel,Cantonese cuisine,4.19,Meguro Station,東京都目黒区三田2-10-30 荒井ビル 1F
China Hotel Furama,Chinese cuisine,4.19,Azabujuban Station,東京都港区東麻布3-7-5
USHIGORO S. GINZA,Grilled meat,4.19,Ginza station,東京都中央区銀座7-7-7 GINZA777 ADC BUILDING 6F
Eagle Craftsman Shou,bird dishes,4.19,Asakusa (Tobu/Toei/Metro) Station,東京都台東区雷門2-14-6
ASAHINA Gastronome,French,4.19,Kayabacho Station,東京都中央区日本橋兜町1-4 M-SQUAREビル 1F
Sugaya,sushi,4.18,Akabanebashi Station,東京都港区東麻布1-29-15 東麻布296ビル 1F
Oniku Hanayagi,"beef dishes, yakiniku",4.18,Ningyocho Station,東京都中央区日本橋小舟町11-11 Kビル 1F
Tokyo Meat Shabu House,"Shabu-shabu, sukiyaki, beef dishes",4.18,Higashi-Shinjuku Station,東京都新宿区大久保1-12-3 カーサ第二新宿 1F
Minami Aoyama Seven Birds,Yakitori,4.18,Hiroo station,東京都港区南青山7-13-13 フォレストビル B1F
La Clairiere,French,4.18,Shirokane Takanawa Station,東京都港区白金3-14-10 ベルパラーゾシロカネ 1F
SATO Briand main store,Grilled meat,4.17,Asagaya Station,東京都杉並区阿佐谷南3-44-2 新井ビル　1F
Yoroniku,"Yakiniku, Horumon",4.17,Omotesando Station,東京都港区南青山6-6-22 ルナロッサ　Ｂ１Ｆ
Charcoal-grilled Yuji,"Hormone, Yakiniku",4.17,Shibuya Station,東京都渋谷区宇田川町11-1 松沼ビル　１Ｆ
coat d&#39;or,French,4.17,Shirokane Takanawa Station,東京都港区三田5-2-18 三田ハウス 1F
Yakitori Omino,"Yakitori, chicken dishes",4.17,Oshiage Station,東京都墨田区押上1-38-4 清流ビル１Ｆ
Dragon Roar,Japanese food,4.17,Hibiya Station,東京都千代田区有楽町1-1-2 ミッドタウン日比谷 7F
Yu Sushi,sushi,4.17,Roppongi Station,東京都港区六本木4-5-11 ランド六本木ビル B1
Yuxiao,Soba,4.16,Meijijingumae Station,東京都渋谷区神宮前5-23-3
tiger peak,"Chinese Cuisine, Creative Cuisine, Innovative Fusion",4.16,Roppongi Station,東京都港区六本木3-8-7 PALビル 1F
Fugu Makino,"Fugu, hot pot (other)",4.16,Inaricho Station,東京都台東区松が谷3-8-1
le mange toux,French,4.16,Ushigome Kagurazaka Station,東京都新宿区納戸町22
Takumi Shingo,sushi,4.16,Aoyama-itchome Station,東京都港区南青山2-2-15 ウィン青山 1F
Japanese restaurant Taigetsu,Japanese food,4.16,Omotesando Station,東京都港区北青山3-13-1 北青山関根ビル B1F
Kaoru HIROO,"Innovative fusion, modern French, Italian",4.15,Hiroo station,東京都港区南麻布4-5-66 2F
Azabu Kadowaki,Japanese food,4.15,Azabu Juban Station,東京都港区麻布十番2-7-2 ローズハウス 1F
Mikawa Korezankyo,Tempura,4.15,Monzennakacho Station,東京都江東区福住1-3-1
Yukimura Azabu,Japanese food,4.14,Azabujuban Station,東京都港区麻布十番1-5-5 湯建麻布十番ビル 3F
Charcoal-grilled meat Nakahara,Grilled meat,4.14,Ichigaya Station,東京都千代田区六番町4-3 GEMS市ヶ谷 9F
Tori Shige,"Yakiton, Motsuyaki",4.13,Shinjuku Station,東京都渋谷区代々木2-6-5
Ode,French,4.13,Hiroo station,東京都渋谷区広尾5-1-32 ST広尾 2F
sincere,French,4.13,Kitasando Station,東京都渋谷区千駄ヶ谷3-7-13 原宿東急アパートメントＢ１
Patisserie Ryoko,"cake, chocolate, macarons",4.12,Takanawadai Station,東京都港区高輪3-2-8
Zhao Yang,"Chinese cuisine, Sichuan cuisine, Chinese pot and hot pot",4.12,Shimbashi Station,東京都港区新橋1-5-5 グランベル銀座ビル2   7F
Torisawa,Yakitori,4.11,Kameido Station,東京都江東区亀戸2-24-13
chicken joy,Yakitori,4.11,Kinshicho Station,東京都墨田区錦糸1-8-13 小坂ビル1階
Nabeno-ism,French,4.11,Asakusa (Tobu/Toei/Metro) Station,東京都台東区駒形2-1-17
Suzuta style,"Japanese cuisine, restaurants (other)",4.1,Azabujuban Station,東京都港区三田1-10-17
Kasahara,Yakitori,4.09,Kagurazaka Station,東京都新宿区東五軒町5-5 2F
Eigetsu Akasaka,Japanese food,4.07,Akasakamitsuke Station,東京都港区赤坂3-11-7 ソシアル赤坂ビル 4F
Isoda,Japanese food,4.06,Ningyocho Station,東京都中央区日本橋人形町2-6-11 五十番ビル 2F
Tanimoto,Japanese food,4.06,Yotsuya Sanchome Station,東京都新宿区荒木町3-21 宮内ビル 2F
Ginza Kitagawa,"Japanese cuisine, tempura",4.05,Ginza-itchome Station,東京都中央区銀座2-10-11 マロニエ通り銀座館 3F
Sushi Tokami,sushi,4.04,Uchisaiwaicho Station,東京都中央区銀座8-2-10 銀座誠和シルバービル B1F
Ginza Fujiyama,Japanese food,4.04,Ginza station,東京都中央区銀座3-3-6 銀座モリタビル 7F
Ichikawa,sushi,4.04,Shirokane Takanawa Station,東京都港区南麻布2-10-13 OJハウス 101
Sushi Ryogetsu,sushi,4.04,Hiroo station,東京都渋谷区恵比寿2-37-8 グランデュオ広尾 1F
beauty meeting,"Innovative fusion, Japanese, Thai cuisine",4.03,Nogizaka Station,東京都港区六本木7-3-21 来山ビル 2F
Atesway,"Cakes, sweets (other)",4.03,Nishi-Ogikubo Station,東京都武蔵野市吉祥寺東町3-8-8 カサ吉祥寺２
Restaurant Lew&#39;s,French,4.03,Roppongi Station,東京都港区六本木4-2-35 VORT六本木Dual's B1F (旧 URABAN STYLE ROPPONGI MIKAWADAI)
Tour d&#39;Argent Tokyo,French,4.02,Nagatacho Station,東京都千代田区紀尾井町4-1 ホテルニューオータニ東京 ロビィ階
Sanwa,"Italian, Steak, Bar Bar",4.02,Shirokanedai Station,東京都港区白金台5-13-14 白金台THE1000 Ｂ1F
Almond,"Innovative fusion, modern French",4.01,Hiroo station,東京都港区白金5-15-3
Ikkoan,Japanese sweets,4.01,Myogadani Station,東京都文京区小石川5-3-15
Kagurazaka Teppanyaki Nakamura,"Teppanyaki, Steak",4.0,Iidabashi Station,東京都新宿区神楽坂3-6 神楽坂三丁目テラスB1
Sushi Mizukami,sushi,4.0,Hanzomon Station,東京都千代田区一番町3-8 大宮ビル 1F
Haramasa,Japanese food,4.0,Yotsuya Sanchome Station,東京都新宿区四谷4-8 ライオンズ四谷タワーゲート店舗棟 B1F
Sushi Restaurant Yamato,sushi,4.0,Tsukiji Station,東京都中央区築地3-7-2 第五銀座ウェスト築地ビル 1F
screwdriver,bar,4.0,Kichijoji Station,東京都武蔵野市吉祥寺本町1-20-15 東永ビル　４Ｆ
Higuchi,Japanese food,3.99,Meijijingumae Station,東京都渋谷区神宮前2-19-12
Patisserie Paris Severeil,"cake, cafe, bread",3.99,Jiyugaoka Station,東京都目黒区自由が丘2-14-5 館山ビル 1F
Ramenya Shima,"Ramen, Tsukemen",3.99,Nishi-Shinjuku Gochome Station,東京都渋谷区本町3-41-12
seafood,sushi,3.99,Gaienmae Station,東京都港区南青山3-2-8 三南ビル　１Ｆ
Satoburi DA,Grilled meat,3.99,Asagaya Station,東京都杉並区阿佐谷南3-57-1
Torisawa 22,Yakitori,3.98,Hiroo Station,東京都港区西麻布4-18-17
Sushi Takumi Saito,sushi,3.98,Akasakamitsuke Station,東京都港区赤坂4-2-2 赤坂鳳月堂本店ビル 2F
Shinbashi Shimizu,sushi,3.98,Shimbashi Station,東京都港区新橋2-15-10
L&#39;Atelier du Plaisir,bread,3.98,Soshigaya Okura Station,東京都世田谷区砧8-13-8 ジベ成城　１Ｆ
Gelateria Aquolina,"ice cream, soft serve",3.97,Yutenji Station,東京都目黒区五本木1-11-10
homage,French,3.97,Asakusa (Tsukuba EXP) Station,東京都台東区浅草4-10-5
Homemade Ramen Wheat Grass,"Ramen, Tsukemen",3.97,Omori Kaigan Station,東京都品川区南大井6-11-10
Restaurant La Finesse,"french, modern french",3.97,Shimbashi Station,東京都港区新橋4-9-1 新橋プラザビル B1F
Ginza Kitafuku,"Crab, Japanese cuisine, soft-shelled turtle",3.97,Ginza station,東京都中央区銀座7-4-5 銀座745ビル 3F
Setsugekka Ginza,"Yakiniku, beef dishes, Japanese cuisine",3.97,Ginza station,東京都中央区銀座6-4-3 GICROS GINZA GEMS 9F
USHIGORO S. NISHIAZABU,Grilled meat,3.97,Nogizaka Station,東京都港区西麻布2-24-14 バルビゾン73 B1F
Tsushima,"Chinese cuisine, creative cuisine",3.97,Roppongi Station,東京都港区元麻布3-2-3 けやき坂 NEST 1F
Food at the end of the rich,Japanese food,3.97,Azabu Juban Station,東京都港区三田1-10-16
L&#39;atelier a mafason,parfait,3.96,Kaminoge Station,東京都世田谷区上野毛1-26-14
Ichita,Japanese food,3.96,Gaienmae Station,東京都港区南青山3-4-6 AOYAMA346 101
rich place,sushi,3.96,Onarimon Station,東京都港区新橋6-13-3 1F
Simplicité,"french, modern french",3.96,Daikanyama Station,東京都渋谷区猿楽町3-9 アヴェニューサイド代官山1 2F
Patisserie Plaisir,"cake, cafe",3.96,Nishitaishido Station,東京都世田谷区代沢4-7-3
Shinjiko Shijimi Chinese Soba Kohaku Tokyo Main Store,ramen,3.96,Zoshiki Station,東京都大田区西六郷2-1-3
鍈光,Yakitori,3.96,Ebisu Station,東京都渋谷区恵比寿2-10-5 ROZIS 1F
Ramen FeeL,ramen,3.96,Hyugawada Station,東京都青梅市梅郷4-695-1
Ranmaru,sushi,3.95,Fudomae Station,東京都目黒区下目黒3-16-2 1F
Chinese Soba Shibata,ramen,3.95,Sengawa Station,東京都調布市若葉町2-25-20
LESS,"cake, cafe",3.95,Ebisu Station,東京都目黒区三田1-12-25 金子ビル 1F
Hand-made extra water-added noodles Nonokura,"Ramen, Tsukemen",3.95,Kameari Station,東京都葛飾区亀有3-11-11 マーベラス大協ビル 1F
Kawada,Japanese food,3.95,Ningyocho Station,東京都中央区日本橋人形町1-5-5 B1F
Westa,"steak, french",3.95,Nihonbashi Station,東京都中央区日本橋3-8-13 華蓮日本橋ビル 1F
Patisserie Carvencon,"Cakes, chocolates, Western sweets (other)",3.95,Iidabashi Station,東京都新宿区筑土八幡町1-2 第３ＮＫビル 1Ｆ
Creative noodle workshop Naryu,"Dandan noodles, ramen, tsukemen",3.94,Shin-Otsuka Station,東京都豊島区南大塚2-34-4 SKY南大塚 1F
I don&#39;t like it,"Ramen, Tsukemen",3.94,Nakanosakaue Station,東京都中野区中央2-2-24 大江戸コーポ 1F
Sushi Saeki,sushi,3.94,Ginza Station,東京都中央区銀座6-3-18 La.La.Grande GINZA 2F
Udon Maruka,Udon,3.94,Jimbocho Station,東京都千代田区神田小川町3-16-1 ニュー駿河台ビル 1F
Aigle Douce,"cake, cafe, macarons",3.94,Mejiro station,東京都新宿区下落合3-22-13
Honestly,Japanese food,3.94,Iidabashi Station,東京都新宿区神楽坂4-3 近江屋ビル 4F
La Blanche,French,3.94,Omotesando Station,東京都渋谷区渋谷2-3-1 青山ポニーハイム　２Ｆ
Boulangerie Sudo,"Bread, cafe, sweets (other)",3.94,Shoin Shrine-mae Station,東京都世田谷区世田谷4-3-14
SALONE TOKYO,"Italian, Pasta, Innovative Fusion",3.94,Hibiya Station,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 3F
Sushi Matsuura,"Sushi, Japanese food (other), Japanese cuisine",3.94,Shirokane Takanawa Station,東京都港区白金5-7-8 ウイング綱島 1F
Sushi Tsubomi,sushi,3.93,Nakameguro Station,東京都目黒区東山1-21-26 QG東山 1F
Nishiazabu Yakiniku X,"Yakiniku, beef tongue, teppanyaki",3.93,Roppongi Station,東京都港区西麻布1-4-46 カーサスプレンディッド西麻布 B1F
Akasaka Kikunoi,Japanese food,3.93,Akasaka Station,東京都港区赤坂6-13-8
Chinese noodles Tagano,"Ramen, Tsukemen",3.93,Ebara Nakanobu Station,東京都品川区中延2-15-10
Kitafuku Akasaka,Crab,3.93,Akasaka Station,東京都港区赤坂3-13-6 国際天野ビル 7F
Kioicho Mitani,sushi,3.93,Nagatacho Station,東京都千代田区紀尾井町1-2 紀尾井テラス 3F
Kobe Beef Rokama Steak GINZA KOKO Roka,"Steak, French, Teppanyaki",3.93,Ginza-itchome Station,東京都中央区銀座1-8-7 VORT銀座 B1F
tomato,"European style curry, curry rice",3.93,Ogikubo Station,東京都杉並区荻窪5-20-7 吉田ビル　１Ｆ
Takumi,"French, Modern French, Innovative Fusion",3.93,Roppongi Station,東京都港区西麻布1-11-10 ビルマーサ 1F
kizami,sushi,3.93,Akasakamitsuke Station,東京都港区赤坂3-21-10 赤坂清明会館ビル5C
Sweets and Ucchi,"Cakes, Western sweets (other)",3.93,Kitasando Station,東京都渋谷区千駄ヶ谷3-27-9 ウエスト青山 1F
Chinese Soba Ibuki,ramen,3.92,Shimurasakagami Station,東京都板橋区前野町4-58-10 見次パークマンション 1F
Seijo fruits and vegetables,ramen,3.92,Ashikakoen Station,東京都世田谷区南烏山3-1-11
Azabu Muroi,Japanese food,3.92,Azabujuban Station,東京都港区三田1-10-15
Ristorante Hamasaki,italian,3.92,Omotesando Station,東京都港区南青山4-11-13
mont saint clair,"cake, macaron, bread",3.92,Jiyugaoka station,東京都目黒区自由が丘2-22-4
Old Imperial Bar,bar,3.92,Hibiya Station,東京都千代田区内幸町1-1-1 帝国ホテル東京 本館 中2F
YAKITORI burn es,Yakitori,3.92,Roppongi Station,東京都港区六本木7-13-10 宮下ビル 1F
Japanese Cuisine Kutan,Japanese food,3.92,Shintomicho Station,東京都中央区新富2-5-5 新富MSビル 1F
Sushi Takahashi,sushi,3.92,Ginza-itchome Station,東京都中央区銀座1-14-14 吉電ビル 1F
Haru Onarimon,Japanese food,3.92,Onarimon Station,東京都港区芝大門1-2-2 中川ビル 1F
Avranches Guénée,"cake, chocolate",3.91,Kasuga Station,東京都文京区本郷4-17-6 1F
it is not,"French, Italian, Bistro",3.91,Yoyogiuehara Station,東京都渋谷区上原1-35-3
Ushimatsu,"Yakiniku, Beef Tongue, Offal",3.91,Hiroo station,東京都港区西麻布3-13-14 LA・RES 西麻布 B1F
Ryoura,"Cakes, Western sweets (other)",3.91,Yoga station,東京都世田谷区用賀4-29-5 グリーンヒルズ用賀ST 1F
Sharimon Onosawa,"Japanese cuisine, soba",3.91,Yotsuya Sanchome Station,東京都新宿区荒木町6-39 ガーデンツリー 1F
Noodle restaurant Shirokuro,ramen,3.91,Hachimanyama Station,東京都杉並区上高井戸1-1-7
SECRET,innovative fusion,3.91,Ushigome Kagurazaka Station,東京都新宿区二十騎町2-23 ランピオンイゴー 1F 102
Kuroki,ramen,3.91,Asakusabashi Station,東京都千代田区神田和泉町2-15 四連ビル3号館　1F
Sushi Zai,"Sushi, seafood/seafood dishes",3.91,Hiroo station,東京都渋谷区広尾5-3-13 Barbizon86 5F
Restaurant Todaka,"Izakaya, creative cuisine, Japanese cuisine",3.9,Gotanda Station,東京都品川区西五反田1-9-3 リバーライトビル B1F
Iruka TOKYO,ramen,3.9,Higashikurume Station,東京都東久留米市本町1-4-28
Pan de Filozoff,bread,3.9,Kagurazaka Station,東京都新宿区東五軒町1-8
Aubon Vieux Tan Oyamadai store,"Cakes, delicatessens, cafes",3.9,Oyamadai Station,東京都世田谷区等々力2-1-3
Nihonbashi Nagato,Japanese sweets,3.9,Nipponbashi Station,東京都中央区日本橋3-1-3 日本橋長門ビル　1F
Kuizen Abe,Japanese food,3.9,Ginza station,東京都中央区銀座5-6-10 都ビル 4F
Bar Tiare,bar,3.9,Akasakamitsuke Station,東京都港区赤坂4-2-2 赤坂鳳月堂本店ビル 5F
Iruka TOKYO Roppongi,ramen,3.9,Roppongi Station,東京都港区六本木4-12-12 穂高ビル 1F
Ken&#39;s Cafe Tokyo Sohonten,Chocolate cake,3.9,Shinjuku Gyoemmae Station,東京都新宿区新宿1-23-3 御苑コーポビアネーズ 1F
French confectionery pastry chef chocolatier Shozo Inamura,"cake, chocolate",3.9,Nippori Station,東京都台東区谷中7-19-5
Shirokanedai Kobayashi,"Japanese cuisine, Japanese food (other)",3.9,Shirokanedai Station,東京都港区白金台5-11-3 バルビゾン91 102
A light in the house,"Ramen, Tsukemen",3.9,Shinkoiwa Station,東京都葛飾区東新小岩1-4-17
Kalpasi,"Indian curry, Nepali food, Sri Lankan food",3.9,Chitose Funabashi Station,東京都世田谷区経堂4-3-10 1F
Chinese soba Sawa,ramen,3.9,Nakaitabashi Station,東京都板橋区中板橋25-14
La Paix,"french, modern french",3.89,Mitsukoshimae Station,東京都中央区日本橋室町1-9-4 井上第3ビル B1F
Tori Chataro,Yakitori,3.89,Shibuya Station,東京都渋谷区鶯谷町7-12 TAKビル 1F
Pure handmade daruma,ramen,3.89,Nakanofujimicho Station,東京都杉並区和田1-18-3
Jimbocho Kurosu,ramen,3.89,Jimbocho Station,東京都千代田区神田神保町3-1-19
Three tigers,ramen,3.89,Edogawabashi Station,東京都新宿区山吹町362 プレステージ362
Ludepassy,"cake, cafe, bread",3.89,Gakugeidaigaku Station,東京都目黒区鷹番3-17-6
Criollo Tokyo Main Store,"cake, cafe, bread",3.89,Kotakemukaihara Station,東京都板橋区向原3-9-2 サントスビル 1F
Hirosaku,Japanese food,3.89,Shimbashi Station,東京都港区新橋3-6-13
Repicurean,"cake, cafe",3.89,Kichijoji Station,東京都武蔵野市吉祥寺南町1-9-5 1F
AZUR et MASA UEKI,"French, modern French",3.89,Nogizaka Station,東京都港区西麻布2-24-7 西麻布MAビル 1F
Nendokoro Honda Akihabara main store,"Ramen, Tsukemen, Dandanmen without soup",3.89,Akihabara Station,東京都千代田区神田花岡町1-19
Hina Ishii,"Yakitori, chicken dishes",3.89,Azabujuban Station,東京都港区南麻布1-27-7 クリフサイドビル 1F
SPICY CURRY Lu Jia,"Curry rice, Taiwanese food",3.89,Okubo Station,東京都新宿区百人町1-24-7 シュミネビル 1F
Sushi Nishizaki,sushi,3.89,Higashi-Kitazawa Station,東京都世田谷区北沢5-3-12 B1F
Yakiniku Thoughts,"Yakiniku, innovative fusion, Korean cuisine",3.89,Akasakamitsuke Station,東京都港区赤坂3-19-5
Tokyoen,Grilled meat,3.88,Higashiginza Station,東京都中央区銀座5-9-5
Chinese Soba Benten,"Ramen, Tsukemen",3.88,Subway Narimasu Station,東京都練馬区旭町3-25-2
Cantonese cuisine sense,Cantonese cuisine,3.88,Mitsukoshimae Station,東京都中央区日本橋室町2-1-1 マンダリン オリエンタル 東京 37F
Menya Sakurai,ramen,3.88,Mitaka Station,東京都武蔵野市西久保2-15-27
Le Cacao main store,"Chocolate, cake, Western confectionery (other)",3.88,Gotanda Station,東京都品川区東五反田2-19-2 第2東都ビル 1F
Azabu Juban Fukuda,Japanese food,3.88,Azabu Juban Station,東京都港区麻布十番3-7-5 マスコビル麻布弐番館 1F
miso kid fuku,"Ramen, Dandan noodles",3.88,Ogikubo Station,東京都杉並区上荻2-40-11 四面道ビル 1F
Addict au Sucre,"cake, cafe, bread",3.88,Toritsudaigaku Station,東京都目黒区八雲1-10-6
Tintin,ramen,3.88,Hachioji Station,東京都八王子市子安町1-30-6
