name,genre,rating_val,nearest_station,address
maki village,japanese food,4.44,omori kaigan station,東京都品川区南大井3-11-5 MAKIMURA BLD 1F
helmet,eel,4.43,ikebukuro station,東京都豊島区池袋2-53-2 池袋ESビル 1F
japanese restaurant haruyama,japanese food,4.43,mita station,東京都港区三田2-17-29 グランデ三田 B1F
sushi kimura,sushi,4.41,futakotamagawa station,東京都世田谷区玉川3-21-8
yamazaki,"japanese cuisine, seafood dishes",4.41,nogizaka station,東京都港区西麻布1-15-3 西麻布UOUビル 1F
bonyu,"french, cake",4.41,sangubashi station,東京都渋谷区代々木4-22-17 クイーンズ代々木 1F
butcher tanaka,"beef, japanese",4.4,ginza station,東京都中央区銀座6-4-3 GICROS GINZA GEMS 9F
tiger white,japanese food,4.39,iidabashi station,東京都新宿区神楽坂3-4
sushi takumi,sushi,4.39,yotsuya station,東京都新宿区四谷1-11 陽臨堂ビル　１Ｆ
kagurazaka ishikawa,japanese food,4.38,ushigome kagurazaka station,東京都新宿区神楽坂5-37 高村ビル　１Ｆ
yoroniku,"yakiniku, horumon",4.38,ebisu station,東京都渋谷区恵比寿1-11-5 GEMS恵比寿 8F
gourmandies,bistro,4.37,hiroo station,東京都港区西麻布3丁目17-23 プティコワン西麻布2F
that,"innovative fusion, french",4.36,yoyogiuehara station,東京都渋谷区西原3-23-1
sushi hashimoto,sushi,4.35,shintomicho station,東京都中央区新富1-8-2 grandir ginza east 1F
shimadzu,sushi,4.35,shirokane takanawa station,東京都港区白金1-29-13 白金ヴィレッジ 1F
camphor tree,tempura,4.34,yotsuya station,東京都新宿区四谷1-9-4
san luca bar,bar,4.34,kagurazaka station,東京都新宿区神楽坂6-43 K's Place102
firewood bird shin-kobe,"yakitori, chicken dishes",4.34,azabujuban station,東京都港区三田1-10-16
hatsune sushi,sushi,4.33,kamata station,東京都大田区西蒲田5-20-2
full of taste,fugu,4.33,roppongi station,東京都港区六本木3-8-8 ＷＯＯビル　１Ｆ
sushi ryujiro,sushi,4.32,gaienmae station,東京都港区南青山2-11-11 ARISTO南青山 1F
nihonbashi soba,tempura,4.32,ningyocho station,東京都中央区日本橋人形町2-22-11 井上ビル 1F
yakiniku jumbo hanare,"yakiniku, horumon",4.32,hongo sanchome station,東京都文京区本郷3-27-9 アンリツビル B1F～1F
esquisse,"french, modern french",4.31,ginza station,東京都中央区銀座5-4-6 ロイヤルクリスタル銀座 9Ｆ
florilage,"french, modern french, innovative fusion",4.3,gaienmae station,東京都渋谷区神宮前2-5-4 SEIZAN外苑 B1
charcoal grill kinryuzan,grilled meat,4.3,shirokane takanawa station,東京都港区白金3-14-1 第１マンション　１Ｆ
taste,japanese food,4.29,uchisaiwaicho station,東京都港区西新橋1-18-8 報徳ビル 1F
sushi hashiguchi,sushi,4.29,akasakamitsuke station,東京都港区元赤坂1-5-20 ロイヤル赤坂サルーン1F
gastronomy joel robuchon,"french, modern french",4.28,ebisu station,東京都目黒区三田1-13-1 恵比寿ガーデンプレイス
pass,creative cuisine,4.28,gaienmae station,東京都渋谷区神宮前2-3-18 建築家会館JIA館
ookusa,yakitori,4.27,yotsuya sanchome station,東京都新宿区荒木町7-13 森戸ビル 1Ｆ
kurogi,japanese food,4.27,daimon station,東京都港区芝公園1-7-10
she ino,french,4.27,kyobashi station,東京都中央区京橋2-4-16 明治京橋ビル1F
ajihiro,japanese food,4.26,shintomicho station,東京都中央区湊3-13-15
lature,french,4.25,omotesando station,東京都渋谷区渋谷2-2-2 青山ルカビル B1F
apicius,french,4.24,hibiya station,東京都千代田区有楽町1-9-4 蚕糸会館　Ｂ１Ｆ
hayabusa,"cantonese cuisine, innovative fusion",4.24,roppongi station,東京都港区六本木4-4-2 ヒルサイドパレス六本木 B1F
akasaka ogino,japanese food,4.24,akasaka station,東京都港区赤坂6-3-13
waves,sushi,4.24,ushigome kagurazaka station,東京都新宿区神楽坂5-7
narisawa,innovative fusion,4.24,aoyama-itchome station,東京都港区南青山2-6-15
les saisons,french,4.24,hibiya station,東京都千代田区内幸町1-1-1 帝国ホテル東京 本館 中2F
live eel shop tsugumi-an,"eel, grilled chicken",4.23,komagome station,東京都北区中里1-29-1
4000 chinese restaurant,sichuan cuisine,4.23,hiroo station,東京都港区南青山7-10-10 パークアクシス南青山7丁目 1F
shinois,chinese cuisine,4.23,shirokanedai station,東京都港区白金台4-2-7 bld桜なみき 2F
wasa,chinese cuisine,4.23,ebisu station,東京都渋谷区東3-16-1 ベルザ恵比寿 1F
and village,japanese food,4.22,toranomon station,東京都港区虎ノ門1-11-14 第二ジェスペールビル　１Ｆ
miyasaka,japanese food,4.22,omotesando station,東京都港区南青山5-4-30 ヴィラソレイユE号
meat kappo,"beef, japanese",4.22,nogizaka station,東京都港区西麻布2-24-14 バルビゾン73 B1F
etc,"japanese cuisine, creative cuisine",4.22,ushigome kagurazaka station,東京都新宿区神楽坂5-37 相良ビル 1F
sushi shunsuke asagaya,sushi,4.21,asagaya station,東京都杉並区阿佐谷南3-44-4 B1F
morisaka koshiba of tsu,japanese food,4.21,akebonobashi station,東京都新宿区荒木町15 サンシャトー四谷203
yakiniku seiryuen,grilled meat,4.21,kiyosumi-shirakawa station,東京都江東区常盤2-14-11
tempura fukamachi,tempura,4.21,kyobashi station,東京都中央区京橋2-5-2 A・M京橋ビル 1F
sezanne,"french, modern french",4.2,kyobashi station,東京都千代田区丸の内1-11-1 パシフィックセンチュリープレイス
tonkatsu narizo,pork cutlet,4.2,minamiasagaya station,東京都杉並区成田東4-33-9
torita junior high school,"yakitori, chicken dishes, japanese cuisine",4.19,kanegafuchi station,東京都墨田区墨田3-25-7
サエキ hotel,cantonese cuisine,4.19,meguro station,東京都目黒区三田2-10-30 荒井ビル 1F
china hotel furama,chinese cuisine,4.19,azabujuban station,東京都港区東麻布3-7-5
ushigoro s. ginza,grilled meat,4.19,ginza station,東京都中央区銀座7-7-7 GINZA777 ADC BUILDING 6F
eagle craftsman shou,bird dishes,4.19,asakusa (tobu/toei/metro) station,東京都台東区雷門2-14-6
asahina gastronome,french,4.19,kayabacho station,東京都中央区日本橋兜町1-4 M-SQUAREビル 1F
sugaya,sushi,4.18,akabanebashi station,東京都港区東麻布1-29-15 東麻布296ビル 1F
oniku hanayagi,"beef dishes, yakiniku",4.18,ningyocho station,東京都中央区日本橋小舟町11-11 Kビル 1F
tokyo meat shabu house,"shabu-shabu, sukiyaki, beef dishes",4.18,higashi-shinjuku station,東京都新宿区大久保1-12-3 カーサ第二新宿 1F
minami aoyama seven birds,yakitori,4.18,hiroo station,東京都港区南青山7-13-13 フォレストビル B1F
la clairiere,french,4.18,shirokane takanawa station,東京都港区白金3-14-10 ベルパラーゾシロカネ 1F
sato briand main store,grilled meat,4.17,asagaya station,東京都杉並区阿佐谷南3-44-2 新井ビル　1F
yoroniku,"yakiniku, horumon",4.17,omotesando station,東京都港区南青山6-6-22 ルナロッサ　Ｂ１Ｆ
charcoal-grilled yuji,"hormone, yakiniku",4.17,shibuya station,東京都渋谷区宇田川町11-1 松沼ビル　１Ｆ
yakitori omino,"yakitori, chicken dishes",4.17,oshiage station,東京都墨田区押上1-38-4 清流ビル１Ｆ
dragon roar,japanese food,4.17,hibiya station,東京都千代田区有楽町1-1-2 ミッドタウン日比谷 7F
yu sushi,sushi,4.17,roppongi station,東京都港区六本木4-5-11 ランド六本木ビル B1
yuxiao,soba,4.16,meijijingumae station,東京都渋谷区神宮前5-23-3
tiger peak,"chinese cuisine, creative cuisine, innovative fusion",4.16,roppongi station,東京都港区六本木3-8-7 PALビル 1F
fugu makino,"fugu, hot pot (other)",4.16,inaricho station,東京都台東区松が谷3-8-1
le mange toux,french,4.16,ushigome kagurazaka station,東京都新宿区納戸町22
takumi shingo,sushi,4.16,aoyama-itchome station,東京都港区南青山2-2-15 ウィン青山 1F
japanese restaurant taigetsu,japanese food,4.16,omotesando station,東京都港区北青山3-13-1 北青山関根ビル B1F
kaoru hiroo,"innovative fusion, modern french, italian",4.15,hiroo station,東京都港区南麻布4-5-66 2F
azabu kadowaki,japanese food,4.15,azabu juban station,東京都港区麻布十番2-7-2 ローズハウス 1F
mikawa korezankyo,tempura,4.15,monzennakacho station,東京都江東区福住1-3-1
yukimura azabu,japanese food,4.14,azabujuban station,東京都港区麻布十番1-5-5 湯建麻布十番ビル 3F
charcoal-grilled meat nakahara,grilled meat,4.14,ichigaya station,東京都千代田区六番町4-3 GEMS市ヶ谷 9F
tori shige,"yakiton, motsuyaki",4.13,shinjuku station,東京都渋谷区代々木2-6-5
ode,french,4.13,hiroo station,東京都渋谷区広尾5-1-32 ST広尾 2F
sincere,french,4.13,kitasando station,東京都渋谷区千駄ヶ谷3-7-13 原宿東急アパートメントＢ１
patisserie ryoko,"cake, chocolate, macarons",4.12,takanawadai station,東京都港区高輪3-2-8
zhao yang,"chinese cuisine, sichuan cuisine, chinese pot and hot pot",4.12,shimbashi station,東京都港区新橋1-5-5 グランベル銀座ビル2   7F
torisawa,yakitori,4.11,kameido station,東京都江東区亀戸2-24-13
chicken joy,yakitori,4.11,kinshicho station,東京都墨田区錦糸1-8-13 小坂ビル1階
nabeno-ism,french,4.11,asakusa (tobu/toei/metro) station,東京都台東区駒形2-1-17
suzuta style,"japanese cuisine, restaurants (other)",4.1,azabujuban station,東京都港区三田1-10-17
kasahara,yakitori,4.09,kagurazaka station,東京都新宿区東五軒町5-5 2F
eigetsu akasaka,japanese food,4.07,akasakamitsuke station,東京都港区赤坂3-11-7 ソシアル赤坂ビル 4F
isoda,japanese food,4.06,ningyocho station,東京都中央区日本橋人形町2-6-11 五十番ビル 2F
tanimoto,japanese food,4.06,yotsuya sanchome station,東京都新宿区荒木町3-21 宮内ビル 2F
ginza kitagawa,"japanese cuisine, tempura",4.05,ginza-itchome station,東京都中央区銀座2-10-11 マロニエ通り銀座館 3F
sushi tokami,sushi,4.04,uchisaiwaicho station,東京都中央区銀座8-2-10 銀座誠和シルバービル B1F
ginza fujiyama,japanese food,4.04,ginza station,東京都中央区銀座3-3-6 銀座モリタビル 7F
ichikawa,sushi,4.04,shirokane takanawa station,東京都港区南麻布2-10-13 OJハウス 101
sushi ryogetsu,sushi,4.04,hiroo station,東京都渋谷区恵比寿2-37-8 グランデュオ広尾 1F
beauty meeting,"innovative fusion, japanese, thai cuisine",4.03,nogizaka station,東京都港区六本木7-3-21 来山ビル 2F
atesway,"cakes, sweets (other)",4.03,nishi-ogikubo station,東京都武蔵野市吉祥寺東町3-8-8 カサ吉祥寺２
sanwa,"italian, steak, bar bar",4.02,shirokanedai station,東京都港区白金台5-13-14 白金台THE1000 Ｂ1F
almond,"innovative fusion, modern french",4.01,hiroo station,東京都港区白金5-15-3
ikkoan,japanese sweets,4.01,myogadani station,東京都文京区小石川5-3-15
kagurazaka teppanyaki nakamura,"teppanyaki, steak",4.0,iidabashi station,東京都新宿区神楽坂3-6 神楽坂三丁目テラスB1
sushi mizukami,sushi,4.0,hanzomon station,東京都千代田区一番町3-8 大宮ビル 1F
haramasa,japanese food,4.0,yotsuya sanchome station,東京都新宿区四谷4-8 ライオンズ四谷タワーゲート店舗棟 B1F
sushi restaurant yamato,sushi,4.0,tsukiji station,東京都中央区築地3-7-2 第五銀座ウェスト築地ビル 1F
screwdriver,bar,4.0,kichijoji station,東京都武蔵野市吉祥寺本町1-20-15 東永ビル　４Ｆ
higuchi,japanese food,3.99,meijijingumae station,東京都渋谷区神宮前2-19-12
patisserie paris severeil,"cake, cafe, bread",3.99,jiyugaoka station,東京都目黒区自由が丘2-14-5 館山ビル 1F
ramenya shima,"ramen, tsukemen",3.99,nishi-shinjuku gochome station,東京都渋谷区本町3-41-12
seafood,sushi,3.99,gaienmae station,東京都港区南青山3-2-8 三南ビル　１Ｆ
satoburi da,grilled meat,3.99,asagaya station,東京都杉並区阿佐谷南3-57-1
torisawa 22,yakitori,3.98,hiroo station,東京都港区西麻布4-18-17
sushi takumi saito,sushi,3.98,akasakamitsuke station,東京都港区赤坂4-2-2 赤坂鳳月堂本店ビル 2F
shinbashi shimizu,sushi,3.98,shimbashi station,東京都港区新橋2-15-10
gelateria aquolina,"ice cream, soft serve",3.97,yutenji station,東京都目黒区五本木1-11-10
homage,french,3.97,asakusa (tsukuba exp) station,東京都台東区浅草4-10-5
homemade ramen wheat grass,"ramen, tsukemen",3.97,omori kaigan station,東京都品川区南大井6-11-10
restaurant la finesse,"french, modern french",3.97,shimbashi station,東京都港区新橋4-9-1 新橋プラザビル B1F
ginza kitafuku,"crab, japanese cuisine, soft-shelled turtle",3.97,ginza station,東京都中央区銀座7-4-5 銀座745ビル 3F
setsugekka ginza,"yakiniku, beef dishes, japanese cuisine",3.97,ginza station,東京都中央区銀座6-4-3 GICROS GINZA GEMS 9F
ushigoro s. nishiazabu,grilled meat,3.97,nogizaka station,東京都港区西麻布2-24-14 バルビゾン73 B1F
tsushima,"chinese cuisine, creative cuisine",3.97,roppongi station,東京都港区元麻布3-2-3 けやき坂 NEST 1F
food at the end of the rich,japanese food,3.97,azabu juban station,東京都港区三田1-10-16
ichita,japanese food,3.96,gaienmae station,東京都港区南青山3-4-6 AOYAMA346 101
rich place,sushi,3.96,onarimon station,東京都港区新橋6-13-3 1F
simplicité,"french, modern french",3.96,daikanyama station,東京都渋谷区猿楽町3-9 アヴェニューサイド代官山1 2F
patisserie plaisir,"cake, cafe",3.96,nishitaishido station,東京都世田谷区代沢4-7-3
shinjiko shijimi chinese soba kohaku tokyo main store,ramen,3.96,zoshiki station,東京都大田区西六郷2-1-3
鍈光,yakitori,3.96,ebisu station,東京都渋谷区恵比寿2-10-5 ROZIS 1F
ramen feel,ramen,3.96,hyugawada station,東京都青梅市梅郷4-695-1
ranmaru,sushi,3.95,fudomae station,東京都目黒区下目黒3-16-2 1F
chinese soba shibata,ramen,3.95,sengawa station,東京都調布市若葉町2-25-20
less,"cake, cafe",3.95,ebisu station,東京都目黒区三田1-12-25 金子ビル 1F
hand-made extra water-added noodles nonokura,"ramen, tsukemen",3.95,kameari station,東京都葛飾区亀有3-11-11 マーベラス大協ビル 1F
kawada,japanese food,3.95,ningyocho station,東京都中央区日本橋人形町1-5-5 B1F
westa,"steak, french",3.95,nihonbashi station,東京都中央区日本橋3-8-13 華蓮日本橋ビル 1F
patisserie carvencon,"cakes, chocolates, western sweets (other)",3.95,iidabashi station,東京都新宿区筑土八幡町1-2 第３ＮＫビル 1Ｆ
creative noodle workshop naryu,"dandan noodles, ramen, tsukemen",3.94,shin-otsuka station,東京都豊島区南大塚2-34-4 SKY南大塚 1F
sushi saeki,sushi,3.94,ginza station,東京都中央区銀座6-3-18 La.La.Grande GINZA 2F
udon maruka,udon,3.94,jimbocho station,東京都千代田区神田小川町3-16-1 ニュー駿河台ビル 1F
aigle douce,"cake, cafe, macarons",3.94,mejiro station,東京都新宿区下落合3-22-13
honestly,japanese food,3.94,iidabashi station,東京都新宿区神楽坂4-3 近江屋ビル 4F
la blanche,french,3.94,omotesando station,東京都渋谷区渋谷2-3-1 青山ポニーハイム　２Ｆ
boulangerie sudo,"bread, cafe, sweets (other)",3.94,shoin shrine-mae station,東京都世田谷区世田谷4-3-14
salone tokyo,"italian, pasta, innovative fusion",3.94,hibiya station,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 3F
sushi matsuura,"sushi, japanese food (other), japanese cuisine",3.94,shirokane takanawa station,東京都港区白金5-7-8 ウイング綱島 1F
sushi tsubomi,sushi,3.93,nakameguro station,東京都目黒区東山1-21-26 QG東山 1F
nishiazabu yakiniku x,"yakiniku, beef tongue, teppanyaki",3.93,roppongi station,東京都港区西麻布1-4-46 カーサスプレンディッド西麻布 B1F
akasaka kikunoi,japanese food,3.93,akasaka station,東京都港区赤坂6-13-8
chinese noodles tagano,"ramen, tsukemen",3.93,ebara nakanobu station,東京都品川区中延2-15-10
kitafuku akasaka,crab,3.93,akasaka station,東京都港区赤坂3-13-6 国際天野ビル 7F
kioicho mitani,sushi,3.93,nagatacho station,東京都千代田区紀尾井町1-2 紀尾井テラス 3F
kobe beef rokama steak ginza koko roka,"steak, french, teppanyaki",3.93,ginza-itchome station,東京都中央区銀座1-8-7 VORT銀座 B1F
tomato,"european style curry, curry rice",3.93,ogikubo station,東京都杉並区荻窪5-20-7 吉田ビル　１Ｆ
takumi,"french, modern french, innovative fusion",3.93,roppongi station,東京都港区西麻布1-11-10 ビルマーサ 1F
kizami,sushi,3.93,akasakamitsuke station,東京都港区赤坂3-21-10 赤坂清明会館ビル5C
sweets and ucchi,"cakes, western sweets (other)",3.93,kitasando station,東京都渋谷区千駄ヶ谷3-27-9 ウエスト青山 1F
chinese soba ibuki,ramen,3.92,shimurasakagami station,東京都板橋区前野町4-58-10 見次パークマンション 1F
seijo fruits and vegetables,ramen,3.92,ashikakoen station,東京都世田谷区南烏山3-1-11
azabu muroi,japanese food,3.92,azabujuban station,東京都港区三田1-10-15
ristorante hamasaki,italian,3.92,omotesando station,東京都港区南青山4-11-13
mont saint clair,"cake, macaron, bread",3.92,jiyugaoka station,東京都目黒区自由が丘2-22-4
old imperial bar,bar,3.92,hibiya station,東京都千代田区内幸町1-1-1 帝国ホテル東京 本館 中2F
yakitori burn es,yakitori,3.92,roppongi station,東京都港区六本木7-13-10 宮下ビル 1F
japanese cuisine kutan,japanese food,3.92,shintomicho station,東京都中央区新富2-5-5 新富MSビル 1F
sushi takahashi,sushi,3.92,ginza-itchome station,東京都中央区銀座1-14-14 吉電ビル 1F
haru onarimon,japanese food,3.92,onarimon station,東京都港区芝大門1-2-2 中川ビル 1F
avranches guénée,"cake, chocolate",3.91,kasuga station,東京都文京区本郷4-17-6 1F
it is not,"french, italian, bistro",3.91,yoyogiuehara station,東京都渋谷区上原1-35-3
ushimatsu,"yakiniku, beef tongue, offal",3.91,hiroo station,東京都港区西麻布3-13-14 LA・RES 西麻布 B1F
ryoura,"cakes, western sweets (other)",3.91,yoga station,東京都世田谷区用賀4-29-5 グリーンヒルズ用賀ST 1F
sharimon onosawa,"japanese cuisine, soba",3.91,yotsuya sanchome station,東京都新宿区荒木町6-39 ガーデンツリー 1F
noodle restaurant shirokuro,ramen,3.91,hachimanyama station,東京都杉並区上高井戸1-1-7
secret,innovative fusion,3.91,ushigome kagurazaka station,東京都新宿区二十騎町2-23 ランピオンイゴー 1F 102
kuroki,ramen,3.91,asakusabashi station,東京都千代田区神田和泉町2-15 四連ビル3号館　1F
sushi zai,"sushi, seafood/seafood dishes",3.91,hiroo station,東京都渋谷区広尾5-3-13 Barbizon86 5F
restaurant todaka,"izakaya, creative cuisine, japanese cuisine",3.9,gotanda station,東京都品川区西五反田1-9-3 リバーライトビル B1F
iruka tokyo,ramen,3.9,higashikurume station,東京都東久留米市本町1-4-28
pan de filozoff,bread,3.9,kagurazaka station,東京都新宿区東五軒町1-8
aubon vieux tan oyamadai store,"cakes, delicatessens, cafes",3.9,oyamadai station,東京都世田谷区等々力2-1-3
nihonbashi nagato,japanese sweets,3.9,nipponbashi station,東京都中央区日本橋3-1-3 日本橋長門ビル　1F
kuizen abe,japanese food,3.9,ginza station,東京都中央区銀座5-6-10 都ビル 4F
bar tiare,bar,3.9,akasakamitsuke station,東京都港区赤坂4-2-2 赤坂鳳月堂本店ビル 5F
iruka tokyo roppongi,ramen,3.9,roppongi station,東京都港区六本木4-12-12 穂高ビル 1F
french confectionery pastry chef chocolatier shozo inamura,"cake, chocolate",3.9,nippori station,東京都台東区谷中7-19-5
shirokanedai kobayashi,"japanese cuisine, japanese food (other)",3.9,shirokanedai station,東京都港区白金台5-11-3 バルビゾン91 102
a light in the house,"ramen, tsukemen",3.9,shinkoiwa station,東京都葛飾区東新小岩1-4-17
kalpasi,"indian curry, nepali food, sri lankan food",3.9,chitose funabashi station,東京都世田谷区経堂4-3-10 1F
chinese soba sawa,ramen,3.9,nakaitabashi station,東京都板橋区中板橋25-14
la paix,"french, modern french",3.89,mitsukoshimae station,東京都中央区日本橋室町1-9-4 井上第3ビル B1F
tori chataro,yakitori,3.89,shibuya station,東京都渋谷区鶯谷町7-12 TAKビル 1F
pure handmade daruma,ramen,3.89,nakanofujimicho station,東京都杉並区和田1-18-3
jimbocho kurosu,ramen,3.89,jimbocho station,東京都千代田区神田神保町3-1-19
three tigers,ramen,3.89,edogawabashi station,東京都新宿区山吹町362 プレステージ362
ludepassy,"cake, cafe, bread",3.89,gakugeidaigaku station,東京都目黒区鷹番3-17-6
criollo tokyo main store,"cake, cafe, bread",3.89,kotakemukaihara station,東京都板橋区向原3-9-2 サントスビル 1F
hirosaku,japanese food,3.89,shimbashi station,東京都港区新橋3-6-13
repicurean,"cake, cafe",3.89,kichijoji station,東京都武蔵野市吉祥寺南町1-9-5 1F
azur et masa ueki,"french, modern french",3.89,nogizaka station,東京都港区西麻布2-24-7 西麻布MAビル 1F
nendokoro honda akihabara main store,"ramen, tsukemen, dandanmen without soup",3.89,akihabara station,東京都千代田区神田花岡町1-19
hina ishii,"yakitori, chicken dishes",3.89,azabujuban station,東京都港区南麻布1-27-7 クリフサイドビル 1F
spicy curry lu jia,"curry rice, taiwanese food",3.89,okubo station,東京都新宿区百人町1-24-7 シュミネビル 1F
sushi nishizaki,sushi,3.89,higashi-kitazawa station,東京都世田谷区北沢5-3-12 B1F
yakiniku thoughts,"yakiniku, innovative fusion, korean cuisine",3.89,akasakamitsuke station,東京都港区赤坂3-19-5
tokyoen,grilled meat,3.88,higashiginza station,東京都中央区銀座5-9-5
chinese soba benten,"ramen, tsukemen",3.88,subway narimasu station,東京都練馬区旭町3-25-2
cantonese cuisine sense,cantonese cuisine,3.88,mitsukoshimae station,東京都中央区日本橋室町2-1-1 マンダリン オリエンタル 東京 37F
menya sakurai,ramen,3.88,mitaka station,東京都武蔵野市西久保2-15-27
le cacao main store,"chocolate, cake, western confectionery (other)",3.88,gotanda station,東京都品川区東五反田2-19-2 第2東都ビル 1F
azabu juban fukuda,japanese food,3.88,azabu juban station,東京都港区麻布十番3-7-5 マスコビル麻布弐番館 1F
miso kid fuku,"ramen, dandan noodles",3.88,ogikubo station,東京都杉並区上荻2-40-11 四面道ビル 1F
addict au sucre,"cake, cafe, bread",3.88,toritsudaigaku station,東京都目黒区八雲1-10-6
tintin,ramen,3.88,hachioji station,東京都八王子市子安町1-30-6
patisserie jun ujita,"cake, cafe",3.88,toritsu university station,東京都目黒区碑文谷4-6-6
moon and turtle,indian curry,3.88,morishita station,東京都江東区新大橋3-7-3
japanese soba noodles 蔦,"ramen, tsukemen",3.88,yoyogi-uehara station,東京都渋谷区西原3-2-4 フロンティア代々木上原 B1F
sheep sunrise,"genghis khan, yakiniku, teppanyaki",3.88,azabu juban station,東京都港区麻布十番2-19-10 PIA麻布十番2 3F
ramen break beats,ramen,3.88,yutenji station,東京都目黒区目黒4-21-19 アイビーハイツ 1F
chicte bakery,"bread, cafe",3.88,minamiosawa station,東京都八王子市南大沢3-9-5 101
mori fuji,japanese food,3.88,ushigome kagurazaka station,東京都新宿区納戸町32-3 ザ・フィガロ市ヶ谷 1F
patisserie yu cowpea,"cake, bread",3.88,chitose karasuyama station,東京都世田谷区南烏山6-28-13
okamoto,japanese food,3.87,kamiyacho station,東京都港区虎ノ門5-2-8 サクシード虎ノ門 B1F
edition koji shimomura,"french, modern french, western/european cuisine (other)",3.87,roppongi itchome station,東京都港区六本木3-1-1 六本木ティーキューブ1F
restaurant raffinage,french,3.87,ginza station,東京都中央区銀座5-9-16 GINZA-A-5 2F
ebisu endo,sushi,3.87,ebisu station,東京都渋谷区恵比寿南1-17-2 4F
ramen nisufun no ichi,ramen,3.87,higashiogu sanchome station,東京都荒川区東尾久2-19-10
tsukemen road,tsukemen,3.87,kameari station,東京都葛飾区亀有5-28-17
united,"modern french, french, innovative fusion",3.87,toranomon hills station,東京都港区虎ノ門1-23-3 虎ノ門ヒルズガーデンハウス 1F
chinese soba wasu tokyo,"ramen, tsukemen",3.87,kitashinagawa station,東京都品川区北品川3-2-1 MTM STUDIO 2F
grilled chicken sea urchin,yakitori,3.87,okusawa station,東京都世田谷区奥沢3-30-11
materiel,"cake, cafe",3.87,oyama station,東京都板橋区大山町21-6 白樹舘壱番館 1F
mensoan sunada,ramen,3.87,koshinzuka station,東京都豊島区巣鴨4-24-6 富士ビル
sushi masuda,sushi,3.87,omotesando station,東京都港区南青山3-14-27 IJK南青山れい 1F
chinese noodles konoki,"ramen, tsukemen, abura soba",3.87,ochiai station,東京都新宿区上落合1-5-3
gelateria cincherita,"ice cream, cafe/coffee shop (other)",3.87,asagaya station,東京都杉並区阿佐谷北1-43-7
kane kitchen noodle,"ramen, tsukemen",3.86,higashi-nagasaki station,東京都豊島区南長崎5-26-15 マチテラス南長崎 2F
trois fleche,steak,3.86,uchisaiwaicho station,東京都中央区銀座8-2-8 銀座高本ビル 2F
private kitchen isamu,chinese cuisine,3.86,shirokanedai station,東京都港区白金6-5-5 モリハウス 1F
echiré maison du bourg,"cake, bread, ice cream",3.86,nijubashimae station,東京都千代田区丸の内2-6-1 丸の内ブリックスクエア 1F
k+,"italian, wine bar",3.86,hiroo station,東京都港区西麻布4-5-8
asterisk,cake,3.86,yoyogiuehara station,東京都渋谷区上原1-26-16 タマテクノビル 1F
right,"french, modern french",3.86,daikanyama station,東京都渋谷区恵比寿西2-17-5 サンビレッジ代官山 2F
prisma,italian,3.86,omotesando station,東京都港区南青山6-4-6 青山ＡＬＬＥＹ 1F
le petit mec hibiya,"bread, cafe",3.86,hibiya station,東京都千代田区有楽町1-2-2 日比谷シャンテ 1F
